iter	Passed	Remaining
0	134	134737
1	135	67568
2	136	45203
3	136	34086
4	137	27411
5	138	22960
6	139	19785
7	140	17390
8	140	15483
9	141	13959
10	143	12858
11	143	11824
12	144	10952
13	144	10194
14	145	9531
15	145	8974
16	146	8462
17	146	8014
18	147	7617
19	149	7301
20	149	6977
21	150	6688
22	151	6418
23	152	6190
24	153	5968
25	154	5769
26	159	5762
27	161	5607
28	164	5501
29	165	5354
30	165	5188
31	167	5062
32	167	4922
33	168	4784
34	168	4655
35	169	4531
36	169	4414
37	170	4303
38	170	4198
39	173	4164
40	174	4074
41	174	3987
42	175	3911
43	176	3841
44	177	3772
45	178	3710
46	179	3639
47	180	3571
48	182	3539
49	185	3529
50	187	3479
51	187	3421
52	188	3366
53	188	3309
54	189	3255
55	189	3202
56	190	3152
57	191	3106
58	191	3058
59	192	3012
60	192	2967
61	193	2925
62	193	2882
63	194	2842
64	194	2802
65	195	2767
66	196	2729
67	196	2692
68	198	2675
69	199	2649
70	200	2617
71	200	2586
72	201	2556
73	201	2526
74	202	2496
75	203	2468
76	203	2445
77	204	2417
78	205	2390
79	205	2364
80	206	2337
81	206	2311
82	207	2287
83	207	2265
84	207	2238
85	209	2226
86	209	2201
87	210	2184
88	212	2176
89	213	2155
90	213	2134
91	214	2115
92	214	2096
93	215	2078
94	216	2059
95	216	2038
96	217	2021
97	217	2001
98	217	1983
99	218	1967
100	219	1953
101	219	1934
102	220	1917
103	220	1902
104	221	1887
105	222	1874
106	222	1859
107	223	1844
108	223	1829
109	224	1815
110	224	1800
111	225	1786
112	225	1773
113	226	1761
114	227	1748
115	227	1734
116	228	1721
117	228	1708
118	229	1695
119	229	1683
120	229	1670
121	231	1666
122	231	1652
123	232	1640
124	233	1637
125	234	1628
126	235	1617
127	235	1606
128	236	1595
129	236	1583
130	237	1572
131	237	1561
132	237	1550
133	238	1540
134	238	1530
135	239	1520
136	239	1509
137	239	1498
138	240	1489
139	240	1479
140	241	1470
141	241	1461
142	242	1451
143	242	1443
144	244	1438
145	244	1429
146	245	1421
147	245	1413
148	246	1407
149	247	1400
150	247	1392
151	248	1383
152	248	1377
153	250	1374
154	250	1366
155	250	1357
156	251	1350
157	251	1342
158	252	1335
159	253	1329
160	253	1322
161	254	1315
162	255	1309
163	255	1302
164	256	1296
165	256	1290
166	257	1284
167	258	1279
168	259	1274
169	259	1267
170	260	1261
171	260	1255
172	261	1249
173	261	1243
174	262	1237
175	262	1231
176	263	1225
177	263	1219
178	264	1213
179	265	1207
180	265	1200
181	265	1194
182	266	1188
183	266	1182
184	267	1177
185	267	1170
186	269	1170
187	270	1170
188	271	1163
189	273	1164
190	273	1159
191	274	1153
192	274	1148
193	275	1143
194	275	1138
195	276	1133
196	276	1128
197	277	1123
198	277	1117
199	278	1112
200	278	1107
201	279	1103
202	279	1098
203	280	1094
204	280	1088
205	281	1084
206	281	1079
207	282	1075
208	284	1075
209	284	1070
210	285	1066
211	285	1061
212	285	1056
213	286	1052
214	287	1048
215	287	1043
216	288	1039
217	288	1035
218	288	1030
219	289	1026
220	290	1022
221	290	1018
222	291	1014
223	291	1009
224	291	1005
225	292	1001
226	293	997
227	293	993
228	293	988
229	294	986
230	300	1000
231	300	996
232	301	992
233	301	987
234	302	984
235	302	980
236	303	976
237	303	972
238	304	969
239	304	965
240	305	962
241	306	958
242	306	954
243	307	951
244	307	947
245	308	944
246	308	940
247	309	937
248	309	933
249	310	930
250	310	926
