iter	Passed	Remaining
0	55	55052
1	55	27696
2	55	18560
3	56	13999
4	56	11264
5	56	9440
6	57	8133
7	57	7149
8	58	6397
9	58	5794
10	58	5293
11	60	4949
12	60	4598
13	60	4290
14	61	4024
15	61	3792
16	62	3586
17	62	3405
18	62	3242
19	63	3094
20	63	2961
21	63	2840
22	64	2730
23	64	2627
24	64	2532
25	65	2446
26	65	2365
27	65	2290
28	66	2221
29	66	2157
30	67	2098
31	68	2063
32	69	2038
33	69	1987
34	70	1940
35	70	1894
36	71	1852
37	71	1814
38	72	1778
39	72	1740
40	72	1704
41	73	1671
42	73	1639
43	74	1608
44	75	1598
45	75	1569
46	76	1542
47	76	1517
48	76	1492
49	77	1468
50	77	1445
51	78	1422
52	78	1399
53	78	1378
54	79	1358
55	79	1338
56	79	1319
57	80	1301
58	80	1282
59	80	1264
60	81	1248
61	81	1233
62	81	1218
63	82	1204
64	82	1191
65	83	1176
66	83	1165
67	84	1154
68	84	1142
69	85	1129
70	85	1117
71	85	1105
72	86	1094
73	86	1082
74	86	1071
75	87	1060
76	87	1049
77	88	1040
78	88	1032
79	88	1022
80	89	1016
81	89	1007
82	90	996
83	90	987
84	90	979
85	91	970
86	91	962
87	92	954
88	92	945
89	92	937
90	93	931
91	93	924
92	94	917
93	94	909
94	94	902
95	95	895
96	95	887
97	95	880
98	96	874
99	96	868
100	97	863
101	97	858
102	97	852
103	98	845
104	98	840
105	98	833
106	99	827
107	99	822
108	100	819
109	100	813
110	100	808
111	101	804
112	101	799
113	102	794
114	102	789
115	103	784
116	103	779
117	103	774
118	104	777
119	105	772
120	105	767
121	106	763
122	106	758
123	106	754
124	107	749
125	107	745
126	107	740
127	108	736
128	108	732
129	108	728
130	109	724
131	109	720
132	110	717
133	110	713
134	110	709
135	111	705
136	111	703
137	112	701
138	112	698
139	113	695
140	113	691
141	113	687
142	114	687
143	115	684
144	115	681
145	116	678
146	116	675
147	116	672
148	117	670
149	118	669
150	118	666
151	119	667
152	120	666
153	120	663
154	121	660
155	121	658
156	122	655
157	122	653
158	123	650
159	123	648
160	123	644
161	124	641
162	124	639
163	124	637
164	125	634
165	125	632
166	126	630
167	126	628
168	127	626
169	127	623
170	128	620
171	129	621
172	129	620
173	130	617
174	130	615
175	131	614
176	132	613
177	132	611
178	132	609
179	134	610
180	134	608
181	134	606
182	135	603
183	135	601
184	135	598
185	136	596
186	136	594
187	137	592
188	137	589
189	137	587
190	138	584
191	138	582
192	138	580
193	139	578
194	139	575
195	139	573
196	140	571
197	140	569
198	141	568
199	141	566
200	142	564
201	142	562
202	143	565
203	144	564
204	145	563
205	146	563
206	146	561
207	146	559
208	147	557
209	147	556
210	148	553
211	149	554
212	149	553
213	150	551
214	150	549
215	150	548
216	151	546
217	151	544
218	151	542
219	152	540
220	152	538
221	153	536
222	153	534
223	153	532
224	154	530
225	154	528
226	154	526
227	155	525
228	155	523
229	155	521
230	156	520
231	156	518
232	157	517
233	157	516
234	158	515
235	158	514
236	159	512
237	159	511
238	160	510
239	160	508
240	161	507
241	161	505
242	161	504
243	162	502
244	162	500
245	164	503
246	164	502
247	165	500
248	165	499
249	166	498
250	166	496
251	166	494
252	167	493
253	167	491
254	167	490
255	168	488
256	168	487
257	168	485
258	169	484
259	169	482
260	169	481
261	170	479
262	170	478
263	171	477
264	171	476
265	171	474
266	172	472
267	173	472
268	173	471
269	173	470
270	174	469
271	174	468
272	175	466
